V,BFS Complete - average time,BFS Cycle - average time,E,BFS Random E = 0 - average time,E,BFS Random E = V - average time,E,BFS Random E = (complete) * .25 - average time,E,BFS Random E = (complete) * .5 - average time,E,BFS Random E = (complete) * .75 - average time,,,,,,,
4,2.4,2.4,0,1.2,4,2.6,1.5,1.2,3,2,4.5,2.8,,,,,,,
8,3.4,3.8,0,2.4,8,4.2,7,4,14,5.6,21,5.2,,,,,,,
16,6.2,7.2,0,4,16,7.2,30,8.6,60,7.4,90,7.8,,,,,,,
32,11.6,13.6,0,7.8,32,13.2,124,14,248,15,372,13.2,,,,,,,
64,23,24.8,0,13.8,64,24.4,504,30.6,1008,30.2,1512,25,,,,,,,
128,48,43.4,0,24,128,47.2,2032,56.4,4064,51.4,6096,50.8,,,,,,,
256,89,87,0,47.8,256,93.8,8160,109.4,16320,101,24480,113.2,,,,,,,
512,182,199,0,96,512,205.8,32704,219,65408,213.6,98112,253.8,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Complete,,,,Cycle,,,,Random E = 0,,,,Random E = V,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,,,
4,6,2.4,,4,4,2.4,,4,0,1.2,,4,4,2.6,,,,,
8,28,3.4,,8,8,3.8,,8,0,2.4,,8,8,4.2,,,,,
16,120,6.2,,16,16,7.2,,16,0,4,,16,16,7.2,,,,,
32,496,11.6,,32,32,13.6,,32,0,7.8,,32,32,13.2,,,,,
64,2016,23,,64,64,24.8,,64,0,13.8,,64,64,24.4,,,,,
128,8128,48,,128,128,43.4,,128,0,24,,128,128,47.2,,,,,
256,32640,89,,256,256,87,,256,0,47.8,,256,256,93.8,,,,,
512,130816,182,,512,512,199,,512,0,96,,512,512,205.8,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Random E = 25% Density,,,,Random E = 50% Density,,,,Random E = 75% Density,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,Complete,Cycle,Random E = 0,Random E = V,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density
4,2,1.2,,4,3,2,,4,5,2.8,,4,2.4,2.4,1.2,2.6,1.2,2,2.8
8,7,4,,8,14,5.6,,8,21,5.2,,8,3.4,3.8,2.4,4.2,4,5.6,5.2
16,30,8.6,,16,60,7.4,,16,90,7.8,,16,6.2,7.2,4,7.2,8.6,7.4,7.8
32,124,14,,32,248,15,,32,372,13.2,,32,11.6,13.6,7.8,13.2,14,15,13.2
64,504,30.6,,64,1008,30.2,,64,1512,25,,64,23,24.8,13.8,24.4,30.6,30.2,25
128,2032,56.4,,128,4064,51.4,,128,6096,50.8,,128,48,43.4,24,47.2,56.4,51.4,50.8
256,8160,109.4,,256,16320,101,,256,24480,113.2,,256,89,87,47.8,93.8,109.4,101,113.2
512,32704,219,,512,65408,213.6,,512,98112,253.8,,512,182,199,96,205.8,219,213.6,253.8
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,BFS,,First Fit,Random,Smallest Original Degree Last,,,,,,,,,,,
,,,4,2.4,,0,1,0.8,,,,,,,,,,,
,,,8,3.4,,0.8,1.6,0.6,,,,,,,,,,,
,,,16,6.2,,1.2,2,1.2,,,,,,,,,,,
,,,32,11.6,,2,4.2,3.2,,,,,,,,,,,
,,,64,23,,5.2,7.4,6.6,,,,,,,,,,,
,,,128,48,,9.2,20.2,21.2,,,,,,,,,,,
,,,256,89,,21.6,25.2,43.6,,,,,,,,,,,
,,,512,182,,42.2,50.2,96,,,,,,,,,,,
