V,FirstFit Complete - average time,FirstFit Cycle - average time,E,FirstFit Random E = 0 - average time,E,FirstFit Random E = V - average time,E,FirstFit Random E = (complete) * .25 - average time,E,FirstFit Random E = (complete) * .5 - average time,E,FirstFit Random E = (complete) * .75 - average time,,,,,,,
4,0,0,0,0,4,0,1.5,0.2,3,0.2,4.5,0,,,,,,,
8,0.8,1,0,0.8,8,1,7,1,14,0.8,21,1,,,,,,,
16,1.2,1.2,0,1,16,1.8,30,1.8,60,1.4,90,1.2,,,,,,,
32,2,2.6,0,3,32,3.2,124,2,248,2,372,3,,,,,,,
64,5.2,4.6,0,5.4,64,4.6,504,5,1008,5,1512,5.8,,,,,,,
128,9.2,10.4,0,10,128,9.2,2032,10,4064,9.4,6096,9,,,,,,,
256,21.6,21.4,0,18.2,256,18.4,8160,20,16320,18.8,24480,19,,,,,,,
512,42.2,36.8,0,36.8,512,37.8,32704,38,65408,41,98112,41.8,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Complete,,,,Cycle,,,,Random E = 0,,,,Random E = V,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,,,
4,6,0,,4,4,0,,4,0,0,,4,4,0,,,,,
8,28,0.8,,8,8,1,,8,0,0.8,,8,8,1,,,,,
16,120,1.2,,16,16,1.2,,16,0,1,,16,16,1.8,,,,,
32,496,2,,32,32,2.6,,32,0,3,,32,32,3.2,,,,,
64,2016,5.2,,64,64,4.6,,64,0,5.4,,64,64,4.6,,,,,
128,8128,9.2,,128,128,10.4,,128,0,10,,128,128,9.2,,,,,
256,32640,21.6,,256,256,21.4,,256,0,18.2,,256,256,18.4,,,,,
512,130816,42.2,,512,512,36.8,,512,0,36.8,,512,512,37.8,,,,,
,Random E = 25% Density,,,,Random E = 50% Density,,,,Random E = 75% Density,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,Complete,Cycle,Random E = 0,Random E = V,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density
4,2,0.2,,4,3,0.2,,4,5,0,,4,0,0,0,0,0.2,0.2,0
8,7,1,,8,14,0.8,,8,21,1,,8,0.8,1,0.8,1,1,0.8,1
16,30,1.8,,16,60,1.4,,16,90,1.2,,16,1.2,1.2,1,1.8,1.8,1.4,1.2
32,124,2,,32,248,2,,32,372,3,,32,2,2.6,3,3.2,2,2,3
64,504,5,,64,1008,5,,64,1512,5.8,,64,5.2,4.6,5.4,4.6,5,5,5.8
128,2032,10,,128,4064,9.4,,128,6096,9,,128,9.2,10.4,10,9.2,10,9.4,9
256,8160,20,,256,16320,18.8,,256,24480,19,,256,21.6,21.4,18.2,18.4,20,18.8,19
512,32704,38,,512,65408,41,,512,98112,41.8,,512,42.2,36.8,36.8,37.8,38,41,41.8
