N=,time
100,835
200,3512
300,7800
400,14618
500,21633
600,41246
700,55100
800,87056
900,82222
1000,94166
1100,112774
1200,135732
1300,159795
1400,186066
1500,213608
1600,243551
1700,276523
1800,310696
1900,346550
2000,383666
2100,423496
2200,463959
2300,504459
2400,551974
2500,602106
2600,650900
2700,701951
2800,758165
2900,813667
3000,869179
3100,925625
3200,987636
3300,1049546
3400,1122439
3500,1185873
3600,1250985
3700,1325453
3800,1392680
3900,1468898
4000,1541928
4100,1637135
4200,1713319
4300,1787692
4400,1877070
4500,1963253
4600,2050653
4700,2136657
4800,2228525
4900,2321788
5000,2420414
5100,2537944
5200,2615881
5300,2709906
5400,2827906
5500,2933400
5600,3035941
5700,3144558
5800,3258858
5900,3390360
6000,3491835
6100,3609676
6200,3726077
6300,3846100
6400,4010141
6500,4091330
6600,4225335
6700,4357375
6800,4485962
6900,4621142
7000,4779601
7100,4916231
7200,5029440
7300,5214841
7400,5310215
7500,5481046
7600,5568138
7700,5713145
7800,5863181
7900,6019470
8000,6167722
8100,6323424
8200,6498772
8300,6646223
8400,6806797
8500,6982013
8600,7143807
8700,7307854
8800,7486077
8900,7651568
9000,7822429
9100,8014821
9200,8172925
9300,8345843
9400,8565936
9500,8758319
9600,8907863
9700,9096411
9800,9262841
9900,9455497
10000,9647177
10100,9866373
10200,10054935
10300,10262064
10400,10490702
10500,10654412
10600,10846598
10700,11074458
10800,11252384
10900,11496353
11000,11809606
11100,11924393
11200,12124009
11300,12306488
11400,13050968
11500,12939785
11600,13012457
11700,13221601
11800,13442072
11900,13705167
12000,13930607
12100,14445223
12200,14415033
12300,16209184
12400,14937511
12500,15146985
12600,15391767
12700,15677493
12800,15895654
12900,16146074
13000,16508153
13100,16721347
13200,17043266
13300,17257103
13400,17509141
13500,17784246
13600,18111367
13700,18397592
13800,18693886
13900,18993490
14000,19259296
14100,19751859
14200,19865969
14300,20187093
14400,20458835
14500,20892569
14600,21335106
14700,21364798
14800,21668109
14900,21951476
15000,22273655
15100,22592348
15200,22907597
15300,23265447
15400,23793794
15500,23913042
15600,24298614
15700,24621116
15800,24856551
15900,25237013
16000,25570251
16100,25905847
16200,26301185
16300,26732226
16400,26900618
16500,27322599
16600,27578900
16700,28728795
16800,28379336
16900,28705685
17000,28998548
17100,29348054
17200,30246712
17300,30078416
17400,30437659
17500,30802288
17600,31471997
17700,31524190
17800,31904743
17900,32346386
18000,32942120
18100,32976129
18200,33405260
18300,33776016
18400,34601537
18500,34643904
18600,34969797
18700,35386944
18800,35713789
18900,36120108
19000,36529618
19100,37148548
19200,37287134
19300,37882611
19400,38561086
19500,38515073
19600,38938722
19700,39275080
19800,39771939
19900,40285589
20000,42117239
