V,SmallestOriginalDegreeLast Complete - average time,SmallestOriginalDegreeLast Cycle - average time,E,SmallestOriginalDegreeLast Random E = 0 - average time,E,SmallestOriginalDegreeLast Random E = V - average time,E,SmallestOriginalDegreeLast Random E = (complete) * .25 - average time,E,SmallestOriginalDegreeLast Random E = (complete) * .5 - average time,E,SmallestOriginalDegreeLast Random E = (complete) * .75 - average time,,,,,,,
4,0.8,0.8,0,0.2,4,0,1.5,0,3,0.2,4.5,0.4,,,,,,,
8,0.6,0.8,0,0.2,8,0.8,7,1,14,1,21,1.2,,,,,,,
16,1.2,1.8,0,1.4,16,1,30,1,60,1.8,90,1,,,,,,,
32,3.2,2.8,0,3.4,32,3,124,3.2,248,3,372,4,,,,,,,
64,6.6,5,0,7,64,5.2,504,6.8,1008,5.8,1512,6,,,,,,,
128,21.2,10.4,0,11.8,128,10.8,2032,13.2,4064,12.4,6096,12.6,,,,,,,
256,43.6,22.4,0,21.6,256,20.2,8160,25.8,16320,41.2,24480,39.4,,,,,,,
512,96,47.8,0,44.8,512,43.4,32704,78.2,65408,82.4,98112,96,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Complete,,,,Cycle,,,,Random E = 0,,,,Random E = V,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,,,
4,6,0.8,,4,4,0.8,,4,0,0.2,,4,4,0,,,,,
8,28,0.6,,8,8,0.8,,8,0,0.2,,8,8,0.8,,,,,
16,120,1.2,,16,16,1.8,,16,0,1.4,,16,16,1,,,,,
32,496,3.2,,32,32,2.8,,32,0,3.4,,32,32,3,,,,,
64,2016,6.6,,64,64,5,,64,0,7,,64,64,5.2,,,,,
128,8128,21.2,,128,128,10.4,,128,0,11.8,,128,128,10.8,,,,,
256,32640,43.6,,256,256,22.4,,256,0,21.6,,256,256,20.2,,,,,
512,130816,96,,512,512,47.8,,512,0,44.8,,512,512,43.4,,,,,
,,,,,,,,,,,,,,,,,,,
,Random E = 25% Density,,,,Random E = 50% Density,,,,Random E = 75% Density,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,Complete,Cycle,Random E = 0,Random E = V,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density
4,2,0,,4,3,0.2,,4,5,0.4,,4,0.8,0.8,0.2,0,0,0.2,0.4
8,7,1,,8,14,1,,8,21,1.2,,8,0.6,0.8,0.2,0.8,1,1,1.2
16,30,1,,16,60,1.8,,16,90,1,,16,1.2,1.8,1.4,1,1,1.8,1
32,124,3.2,,32,248,3,,32,372,4,,32,3.2,2.8,3.4,3,3.2,3,4
64,504,6.8,,64,1008,5.8,,64,1512,6,,64,6.6,5,7,5.2,6.8,5.8,6
128,2032,13.2,,128,4064,12.4,,128,6096,12.6,,128,21.2,10.4,11.8,10.8,13.2,12.4,12.6
256,8160,25.8,,256,16320,41.2,,256,24480,39.4,,256,43.6,22.4,21.6,20.2,25.8,41.2,39.4
512,32704,78.2,,512,65408,82.4,,512,98112,96,,512,96,47.8,44.8,43.4,78.2,82.4,96
