,Complete,Cycle,E,Random - Random dist e = 0,E,Random - Random dist e = V,E,Random - Random dist e = (complete) * .25,E,Random - Random dist e = (complete) * .5,E,Random - Random dist e = (complete) * .75,E,Random - Random dist e = complete,E,Random - Skewed dist e = 0,E,Random - Skewed dist e = V,E,Random - Skewed dist e = (complete) * .25,E,Random - Skewed dist e = (complete) * .5,E,Random - Skewed dist e = (complete) * .75,E,Random - Skewed dist e = complete,E,Random - Tiered dist e = 0,E,Random - Tiered dist e = V,E,Random - Tiered dist e = (complete) * .25,E,Random - Tiered dist e = (complete) * .5,E,Random - Tiered dist e = (complete) * .75,E,Random - Tiered dist e = complete
4,3,1,0,4,4,5,1.5,2,3,3,4.5,5,6,6,0,1,4,9,1.5,6,3,8,4.5,10,6,11,0,1,4,20,1.5,7,3,13,4.5,11,6,41
8,18,3,0,1,8,9,7,24,14,34,21,12,28,41,0,0,8,11,7,16,14,13,21,17,28,41,0,0,8,14,7,13,14,25,21,48,28,125
16,38,5,0,0,16,8,30,14,60,27,90,54,120,82,0,1,16,29,30,35,60,49,90,74,120,568,0,1,16,33,30,40,60,64,90,134,120,704
32,155,10,0,1,32,15,124,53,248,110,372,208,496,598,0,1,32,72,124,121,248,174,372,312,496,18284,0,2,32,199,124,286,248,538,372,982,496,6062
64,717,35,0,3,64,55,504,492,1008,632,1512,1716,2016,19662,0,10,64,697,504,740,1008,1616,1512,4773,2016,313281,0,1,64,376,504,622,1008,1234,1512,3546,2016,30014
128,2556,41,0,3,128,61,2032,993,4064,4269,6096,10334,8128,73576,0,3,128,795,2032,1900,4064,4522,6096,13018,8128,0,0,3,128,1400,2032,3014,4064,8250,6096,36428,8128,284843
256,11864,82,0,5,256,137,8160,6251,16320,27122,24480,77897,32640,787857,0,5,256,3138,8160,10718,16320,42715,24480,160156,32640,0,0,5,256,5537,8160,18354,16320,82042,24480,372744,32640,4.94E+06
512,54975,173,0,14,512,233,32704,57898,65408,374476,98112,1.43E+06,130816,2.44E+07,0,9,512,12138,32704,88331,65408,530782,98112,3.08E+06,130816,1,0,9,512,22599,32704,168197,65408,1.03E+06,98112,5.56E+06,130816,1.21E+08
1024,252055,318,0,17,1024,462,130944,1.08E+06,261888,7.88E+06,392832,3.10E+07,523776,3.45E+08,0,20,1024,51613,130944,2.64E+06,261888,1.05E+07,392832,4.74E+07,523776,2,0,19,1024,110416,130944,3.02E+06,261888,2.00E+07,392832,1.01E+08,523776,2.06E+09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,V,Time (microseconds),Time (microseconds),Time (microseconds),Time (microseconds),Time (microseconds),,,,,,,,,,,,,,
V,Time (microseconds),,V,Time (microseconds),,,,,,,,,,,,,,,4,5,2,3,5,6,,,,,,,,,,,,,,
4,3,,4,1,,,,,,,,,,,,,,,8,9,24,34,12,41,,,,,,,,,,,,,,
8,18,,8,3,,,,,,,,,,,,,,,16,8,14,27,54,82,,,,,,,,,,,,,,
16,38,,16,5,,,,,,,,,,,,,,,32,15,53,110,208,598,,,,,,,,,,,,,,
32,155,,32,10,,,,,,,,,,,,,,,64,55,492,632,1716,19662,,,,,,,,,,,,,,
64,717,,64,35,,,,,,,,,,,,,,,128,61,993,4269,10334,73576,,,,,,,,,,,,,,
128,2556,,128,41,,,,,,,,,,,,,,,256,137,6251,27122,77897,787857,,,,,,,,,,,,,,
256,11864,,256,82,,,,,,,,,,,,,,,512,233,57898,374476,1.43E+06,2.44E+07,,,,,,,,,,,,,,
512,54975,,512,173,,,,,,,,,,,,,,,1024,462,1.08E+06,7.88E+06,3.10E+07,3.45E+08,,,,,,,,,,,,,,
1024,252055,,1024,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random - Random dist e = 0,,,,Random - Random dist e = V,,,,Random - Random dist e = (complete) * .25,,,,Random - Random dist e = (complete) * .5,,,Random - Random dist e = (complete) * .75,,,,Random - Random dist e = (complete),,,,,,,,,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,e = 0,e = v,25% density,50% density,75% density,100% density,,,,,,,,
4,0,4,,4,4,5,,4,1,2,,4,3,3,,4,4,5,,4,6,6,,4,4,5,2,3,5,6,,,,,,,,
8,0,1,,8,8,9,,8,7,24,,8,14,34,,8,21,12,,8,28,41,,8,1,9,24,34,12,41,,,,,,,,
16,0,0,,16,16,8,,16,30,14,,16,60,27,,16,90,54,,16,120,82,,16,0,8,14,27,54,82,,,,,,,,
32,0,1,,32,32,15,,32,124,53,,32,248,110,,32,372,208,,32,496,598,,32,1,15,53,110,208,598,,,,,,,,
